GeneSym,protein
A1CF,29974
A2M,2
AAAS,8086
AAMDC,28971
AAR2,25980
AARSD1,80755
AATF,26574
AATK,9625
ABAT,18
ABCA12,26154
ABCA13,154664
ABCA2,20
ABCA6,23460
ABCB1,5243
ABCB10,23456
ABCB11,8647
ABCB4,5244
ABCB6,10058
ABCB7,22
ABCB8,11194
ABCB9,23457
ABCC12,94160
ABCC2,1244
ABCC4,10257
ABCC6,368
ABCC8,6833
ABCC9,10060
ABCD2,225
ABCF1,23
ABCF2,10061
ABCF3,55324
ABCG1,9619
ABCG4,64137
ABCG8,64241
ABHD1,84696
ABHD12,26090
ABI2,10152
ABL1,25
ABL2,27
ABLIM1,3983
ABTB1,80325
ACAA2,10449
ACACA,31
ACAD10,80724
ACAD9,28976
ACADM,34
ACADS,35
ACAN,176
ACAP3,116983
ACBD6,84320
ACD,65057
ACE2,59272
ACHE,43
ACKR1,2532
ACMSD,130013
ACOT13,55856
ACOT8,10005
ACOT9,23597
ACOX1,51
ACOXL,55289
ACP1,52
ACP6,51205
ACPP,55
ACRBP,84519
ACSBG1,23205
ACSF2,80221
ACSF3,197322
ACSL3,2181
ACSL6,23305
ACSS3,79611
ACTA1,58
ACTB,60
ACTG1,71
ACTL6A,86
ACTL7B,10880
ACTN3,89
ACTN4,81
ACTR2,10097
ACTR3,10096
ACTR5,79913
ACTR6,64431
ACVR2A,92
ADA,100
ADAM10,102
ADAM17,6868
ADAM2,2515
ADAM28,10863
ADAM33,80332
ADAMTS13,11093
ADAMTSL2,9719
ADAMTSL3,57188
ADAMTSL4,54507
ADAP1,11033
ADAT1,23536
ADAT3,113179
ADCK4,79934
ADCY2,108
ADCY5,111
ADCY7,113
ADCY8,114
ADCYAP1R1,117
ADD3,120
ADH1A,124
ADH1B,125
ADH1C,126
ADH4,127
ADH5,128
ADH6,130
ADHFE1,137872
ADI1,55256
ADIPOQ,9370
ADIPOR1,51094
ADIRF,10974
ADK,132
ADM5,199800
ADNP,23394
ADORA2A,135
ADORA3,140
ADPRM,56985
ADRA2B,151
ADRA2C,152
ADRB1,153
ADRBK2,157
AEBP2,121536
AES,166
AFF1,4299
AFF2,2334
AFF4,27125
AFG3L1P,172
AFTPH,54812
AGA,175
AGBL2,79841
AGFG1,3267
AGGF1,55109
AGL,178
AGO1,26523
AGO2,27161
AGO4,192670
AGPAT1,10554
AGPAT3,56894
AGPAT4,56895
AGPAT6,137964
AGPS,8540
AGR2,10551
AGR3,155465
AGRN,375790
AGT,183
AGTPBP1,23287
AGXT2,64902
AHCTF1,25909
AHR,196
AHSG,197
AIFM1,9131
AIFM2,84883
AIFM3,150209
AIG1,51390
AIM2,9447
AIMP1,9255
AIP,9049
AIRE,326
AK2,204
AK7,122481
AK8,158067
AK9,221264
AKAP4,8852
AKAP7,9465
AKAP8,10270
AKAP8L,26993
AKAP9,10142
AKIP1,56672
AKIRIN1,79647
AKIRIN2,55122
AKNA,80709
AKR1A1,10327
AKR1B1,231
AKR1B10,57016
AKR1C1,1645
AKR1C4,1109
AKR7A3,22977
AKT1,207
AKT1S1,84335
AKT2,208
AKTIP,64400
ALAD,210
ALB,213
ALDH1A2,8854
ALDH2,217
ALDH3A1,218
ALDH3B1,221
ALDH3B2,222
ALDH4A1,8659
ALDH6A1,4329
ALDH9A1,223
ALG10B,144245
ALG13,79868
ALG14,199857
ALG3,10195
ALK,238
ALKBH1,8846
ALKBH7,84266
ALMS1,7840
ALOX15B,247
ALOX5,240
ALOXE3,59344
ALPK3,57538
ALPP,250
ALPPL2,251
ALS2CL,259173
ALS2CR11,151254
ALS2CR12,130540
ALX1,8092
ALX4,60529
AMBRA1,55626
AMD1,262
AMELX,265
AMFR,267
AMHR2,269
AMIGO3,386724
AMMECR1L,83607
AMN,81693
AMOT,154796
AMZ2,51321
ANAPC11,51529
ANAPC15,25906
ANAPC16,119504
ANAPC4,29945
ANAPC7,51434
ANGEL2,90806
ANGPT2,285
ANGPTL1,9068
ANGPTL3,27329
ANGPTL6,83854
ANK3,288
ANKAR,150709
ANKFY1,51479
ANKH,56172
ANKHD1,54882
ANKRA2,57763
ANKRD10,55608
ANKRD11,29123
ANKRD13A,88455
ANKRD13D,338692
ANKRD17,26057
ANKRD18A,253650
ANKRD2,26287
ANKRD23,200539
ANKRD28,23243
ANKRD30A,91074
ANKRD31,256006
ANKRD32,84250
ANKRD39,51239
ANKRD53,79998
ANKRD54,129138
ANKS1B,56899
ANO2,57101
ANO3,63982
ANO5,203859
ANO6,196527
ANP32C,23520
ANXA10,11199
ANXA13,312
ANXA9,8416
AOC3,8639
AP1B1,162
AP1G1,164
AP1M1,8907
AP1S1,1174
AP1S2,8905
AP1S3,130340
AP2A2,161
AP2B1,163
AP2M1,1173
AP3B1,8546
AP3D1,8943
AP3M1,26985
AP4B1,10717
AP4E1,23431
AP5M1,55745
AP5Z1,9907
APAF1,317
APBA3,9546
APBB1IP,54518
APC2,10297
APCDD1,147495
APEH,327
APH1B,83464
API5,8539
APITD1,378708
APLF,200558
APLN,8862
APLNR,187
APLP1,333
APOA1,335
APOA4,337
APOB,338
APOBEC2,10930
APOBEC3C,27350
APOBEC3D,140564
APOC1,341
APOC3,345
APOD,347
APOE,348
APOF,319
APOH,350
APOL5,80831
APOLD1,81575
APOO,79135
APPBP2,10513
APRT,353
APTX,54840
AQP4,361
AQP5,362
AQR,9716
AR,367
ARAP1,116985
ARAP3,64411
ARC,23237
ARCN1,372
ARF1,375
ARFGEF2,10564
ARFIP1,27236
ARFIP2,23647
ARG2,384
ARHGAP1,392
ARHGAP12,94134
ARHGAP17,55114
ARHGAP18,93663
ARHGAP19,84986
ARHGAP20,57569
ARHGAP21,57584
ARHGAP23,57636
ARHGAP25,9938
ARHGAP32,9743
ARHGAP33,115703
ARHGAP6,395
ARHGAP9,64333
ARHGEF1,9138
ARHGEF15,22899
ARHGEF16,27237
ARHGEF18,23370
ARHGEF2,9181
ARHGEF26,26084
ARHGEF40,55701
ARHGEF7,8874
ARID1B,57492
ARID3A,1820
ARID4B,51742
ARID5A,10865
ARIH2,10425
ARL1,400
ARL10,285598
ARL13B,200894
ARL16,339231
ARL2BP,23568
ARL3,403
ARL6,84100
ARL6IP1,23204
ARL6IP5,10550
ARL8A,127829
ARMC10,83787
ARMC2,84071
ARMC5,79798
ARMC6,93436
ARMC7,79637
ARMC8,25852
ARMC9,80210
ARMCX3,51566
ARPC4,10093
ARPIN,348110
ARPP19,10776
ARPP21,10777
ARR3,407
ARRB2,409
ARRDC1,92714
ARRDC1-AS1,85026
ARRDC4,91947
ARSA,410
ARSE,415
ARSF,416
ARSI,340075
ARSK,153642
ART4,420
ARTN,9048
ARV1,64801
ASB10,136371
ASB11,140456
ASB12,142689
ASB15,142685
ASB16,92591
ASB17,127247
