ID	VALUE
A_23_P117082	-0.8529367
A_33_P3246448	-6.1223283
A_33_P3318220	0.037370667
A_33_P3236322	0.7039001
A_33_P3319925	0.44859138
A_21_P0000509	0.41523358
A_21_P0000744	-4.5354786
A_24_P215804	1.6735971
A_23_P110167	0.5777198
A_33_P3211513	-0.093265526
A_23_P103349	0.26478517
A_32_P61480	0.61240095
A_33_P3788124	0.06362055
A_33_P3414202	-0.062007006
A_33_P3316686	1.6403322
A_33_P3300975	-2.8494587
A_33_P3263061	0.10623736
A_33_P3261373	0.076282606
A_24_P278460	-0.36611077
A_21_P0013109	1.1575979
A_21_P0014651	0.17830423
A_24_P286898	0.8187581
A_23_P340890	-0.003579095
A_21_P0005185	-0.4364433
A_21_P0010885	-0.80785257
A_21_P0004635	-0.40063763
A_23_P89762	1.6019238
A_33_P3379396	-2.1739461
A_23_P109034	-0.32011792
A_21_P0013603	-0.26227507
A_33_P3261031	0.2669139
A_33_P3364776	0.109188065
A_33_P3732466	0.005397712
A_33_P3402773	1.1088877
A_33_P3636315	1.2476919
A_33_P3365553	0.111399814
A_23_P103837	-0.34120277
A_33_P3402035	0.930683
A_21_P0013668	0.44677868
A_23_P61637	-2.0686321
A_23_P11543	1.4194802
A_23_P103765	0.1369198
A_21_P0002012	0.41001987
A_33_P3219429	0.8673772
A_21_P0014120	1.5455478
A_33_P3372397	0.41735035
A_24_P120109	0.30245835
A_21_P0013733	0.13979363
A_21_P0008159	0.14141102
A_23_P118888	0.21062274
A_19_P00803093	0.12095053
A_33_P3350056	-0.28486925
A_32_P202703	-0.32921886
A_24_P787889	1.1817799
A_33_P3390097	-0.53460026
A_24_P238257	0.15150592
A_33_P3227225	1.0358919
A_21_P0014626	0.55747503
A_23_P203658	1.2318279
A_33_P3354678	-0.74191344
A_23_P102060	0.11705489
A_23_P206140	0.98338604
A_23_P14389	0.6939478
A_23_P106016	-5.193202
A_33_P3323435	0.85337496
A_21_P0011375	1.1411666
A_21_P0001890	0.16396853
A_33_P3228014	0.1648606
A_21_P0014742	-0.8860045
A_33_P3241482	-0.99398714
A_21_P0001555	0.1672218
A_33_P3349661	0.16794363
A_21_P0010319	-0.11929509
A_23_P145541	1.067213
A_23_P111865	-0.2674398
A_23_P151294	0.14725292
A_23_P144096	-1.8641614
A_33_P3299510	-0.8165078
A_23_P76705	0.6128855
A_23_P63896	2.3132982
A_21_P0005541	0.6817233
A_24_P355944	3.441494
A_23_P101374	1.3039188
A_32_P199252	0.11794567
A_21_P0001204	0.17389013
A_23_P203191	-4.7253647
A_19_P00811812	1.4035331
A_24_P54390	-0.21703307
A_33_P3311205	0.35761926
A_32_P89827	-2.4218779
A_23_P44264	0.17466286
A_33_P3424489	0.9896098
A_21_P0004959	0.1745335
A_33_P3245927	0.34942055
A_23_P101521	-0.42844456
A_21_P0004017	0.17435305
A_33_P3379526	2.7808733
A_23_P98183	1.1993113
A_21_P0012132	0.5491662
A_21_P0007347	0.6002466
A_33_P3265679	-0.3863206
ERCC-00096_179	-0.018338481
A_21_P0000880	-0.004285286
A_33_P3278313	-5.828547
A_33_P3306973	-0.3553773
A_33_P3235690	0.7251873
A_21_P0006812	0.17144696
A_21_P0004992	0.2693129
A_21_P0000576	0.903615
A_21_P0005597	-0.97606516
A_21_P0014082	0.16975148
A_24_P187056	-3.0625234
A_33_P3858476	1.1947454
A_33_P3260373	1.7880836
A_33_P3282898	0.9765754
A_23_P122001	-0.11883916
A_23_P117437	0.09004456
A_21_P0002784	1.0890524
A_24_P303420	-3.196561
A_23_P122508	1.1092587
ERCC-00013_180	0.08768847
A_19_P00322002	1.0911337
A_19_P00320028	-0.23278815
A_23_P114883	-1.7095832
A_24_P42066	0.19438986
A_21_P0007322	2.0196104
A_33_P3321007	1.1454409
A_33_P3857091	0.16046451
A_33_P3404480	-2.4266503
A_33_P3357431	-0.14057024
A_21_P0009595	-4.0217886
A_23_P110288	0.62154305
A_23_P114282	0.062879495
A_21_P0001847	0.05282407
A_33_P3325018	0.48444837
A_21_P0004300	1.3670812
A_23_P88740	-1.2259188
A_23_P123308	-0.97354794
A_21_P0003254	0.43960533
A_33_P3412975	-0.35824478
A_33_P3745164	0.15380527
A_23_P102937	0.017423693
A_24_P41021	0.9375648
A_21_P0007760	0.15271932
A_21_P0002274	0.05658645
A_23_P11652	-0.12628274
A_23_P258340	0.045167893
A_21_P0014949	-1.0214063
A_33_P3209386	1.012209
A_33_P3312601	1.4184479
A_23_P162702	0.032013938
A_23_P434518	1.7923676
A_21_P0003091	-0.83891976
A_23_P61042	-0.061545406
A_21_P0005777	0.15115455
A_21_P0003356	0.15125567
A_23_P119907	-0.9663209
A_21_P0010960	-1.3274093
A_33_P3284404	-2.9637966
