"ID","Gene symbol"
"A_23_P117082","HEBP1"
"A_33_P3246448","KCNE4"
"A_33_P3318220","BPIFA3"
"A_33_P3236322","LOC100129869"
"A_33_P3319925","IRG1"
"A_21_P0000509","SNAR-G2"
"A_21_P0000744","LOC100506844"
"A_24_P215804","CKLF"
"A_23_P110167","MGST2"
"A_33_P3211513","CLK1"
"A_23_P103349","OCLM"
"A_32_P61480","CASC2"
"A_33_P3788124","PWRN1"
"A_33_P3414202","MBNL3"
"A_33_P3316686","CYB5R4"
"A_33_P3300975","HOXC4"
"A_33_P3263061","AK3"
"A_33_P3261373",""
"A_24_P278460","FAR1"
"A_21_P0013109","XLOC_l2_013153"
"A_21_P0014651","LOC100129203"
"A_24_P286898","MAPK8"
"A_23_P340890","THAP3"
"A_21_P0005185","XLOC_005939"
"A_21_P0010885","TMEM14B"
"A_21_P0004635","XLOC_005179"
"A_23_P89762","PHLPP1"
"A_33_P3379396","KRT1"
"A_23_P109034","SDC4"
"A_21_P0013603","XLOC_l2_015038"
"A_33_P3261031",""
"A_33_P3364776",""
"A_33_P3732466","DKFZp547G183"
"A_33_P3402773",""
"A_33_P3636315","LOC286087"
"A_33_P3365553","LOC389634"
"A_23_P103837","UBAP2L"
"A_33_P3402035","TRAF4"
"A_21_P0013668","FAM75C2"
"A_23_P61637","HAL"
"A_23_P11543","FUCA1"
"A_23_P103765","FCER1A"
"A_21_P0002012","XLOC_001975"
"A_33_P3219429","SMNDC1"
"A_21_P0014120","LOC100507291"
"A_33_P3372397",""
"A_24_P120109","DHX57"
"A_21_P0013733","TCERG1L"
"A_21_P0008159","XLOC_010597"
"A_23_P118888","PAFAH1B1"
"A_19_P00803093","Q3AHP4"
"A_33_P3350056","MT1X"
"A_32_P202703","LOC389831"
"A_24_P787889","TMEM191B"
"A_33_P3390097",""
"A_24_P238257","C17orf104"
"A_33_P3227225",""
"A_21_P0014626","RNF13"
"A_23_P203658","PICALM"
"A_33_P3354678","TRIM78P"
"A_23_P102060","SSFA2"
"A_23_P206140","DNAJA4"
"A_23_P14389","ACIN1"
"A_23_P106016","PRKD1"
"A_33_P3323435","MAP3K9"
"A_21_P0011375","SORD"
"A_21_P0001890","XLOC_001602"
"A_33_P3228014","SCGB1D4"
"A_21_P0014742","LOC100287813"
"A_33_P3241482","ZNF346"
"A_21_P0001555","XLOC_000934"
"A_33_P3349661","PCDH9"
"A_21_P0010319","XLOC_014042"
"A_23_P145541","FIG4"
"A_23_P111865","ZSCAN21"
"A_23_P151294","IFNG"
"A_23_P144096","CISH"
"A_33_P3299510","SCXA"
"A_23_P76705","TUBGCP3"
"A_23_P63896","FAS"
"A_21_P0005541","XLOC_006644"
"A_24_P355944","EFNB2"
"A_23_P101374","CYP2S1"
"A_32_P199252","HSP90AA1"
"A_21_P0001204","XLOC_001128"
"A_23_P203191","APOA1"
"A_19_P00811812","MPRIP"
"A_24_P54390","RASGRP3"
"A_33_P3311205","PRPF40B"
"A_32_P89827","TPTE2P6"
"A_23_P44264","EMX2"
"A_33_P3424489",""
"A_21_P0004959","XLOC_005512"
"A_33_P3245927","OGFOD2"
"A_23_P101521","IZUMO2"
"A_21_P0004017","XLOC_004428"
"A_33_P3379526",""
"A_23_P98183","HRAS"
"A_21_P0012132","XLOC_l2_008731"
"A_21_P0007347","XLOC_009428"
"A_33_P3265679","LOC389199"
"ERCC-00096_179",""
"A_21_P0000880","SPAG5-AS1"
"A_33_P3278313","MSRB3"
"A_33_P3306973",""
"A_33_P3235690","THOC2"
"A_21_P0006812","XLOC_008342"
"A_21_P0004992","XLOC_005586"
"A_21_P0000576","LOC100294362"
"A_21_P0005597","XLOC_006364"
"A_21_P0014082","LOC100507013"
"A_24_P187056",""
"A_33_P3858476","FLJ30838"
"A_33_P3260373","ISY1-RAB43"
"A_33_P3282898","TLN1"
"A_23_P122001","MSH3"
"A_23_P117437","IL25"
"A_21_P0002784","XLOC_002880"
"A_24_P303420","LOC221442"
"A_23_P122508","DPCR1"
"ERCC-00013_180",""
"A_19_P00322002","FLJ43663"
"A_19_P00320028","LOC100216546"
"A_23_P114883","FMOD"
"A_24_P42066","GGT3P"
"A_21_P0007322","XLOC_009383"
"A_33_P3321007","LOC401463"
"A_33_P3857091","LOC286114"
"A_33_P3404480","MPP4"
"A_33_P3357431",""
"A_21_P0009595","LOC645321"
"A_23_P110288","GSTCD"
"A_23_P114282","MCTS1"
"A_21_P0001847","XLOC_001398"
"A_33_P3325018","ERLEC1"
"A_21_P0004300","XLOC_004562"
"A_23_P88740","CENPN"
"A_23_P123308","TEX15"
"A_21_P0003254","XLOC_002878"
"A_33_P3412975","SIX5"
"A_33_P3745164","CADM2"
"A_23_P102937","SUMO3"
"A_24_P41021","FBXO33"
"A_21_P0007760","XLOC_010200"
"A_21_P0002274","XLOC_001637"
"A_23_P11652","USP1"
"A_23_P258340","PPIA"
"A_21_P0014949","NPEPPS"
"A_33_P3209386","TXNDC17"
"A_33_P3312601","AADACL4"
"A_23_P162702","C12orf51"
"A_23_P434518","LFNG"
"A_21_P0003091","XLOC_002996"
"A_23_P61042",""
"A_21_P0005777","XLOC_006949"
"A_21_P0003356","XLOC_003521"
"A_23_P119907","ANKZF1"
"A_21_P0010960","XLOC_l2_002204"
"A_33_P3284404","SYNGR1"
"ERCC-00156_158",""
"A_21_P0008122","XLOC_010503"
"A_23_P110624","CTNND2"
"ERCC-00147_344",""
"A_21_P0001786","XLOC_002049"
"A_32_P215938","GPSM1"
"A_33_P3325808",""
"A_21_P0002823","XLOC_002968"
"A_23_P101960","ZFP36L2"
"A_19_P00318261","SNORA26"
"A_21_P0011410","XLOC_l2_004944"
"A_23_P140602","NGRN"
"A_24_P252575","RABGAP1"
"A_23_P104025","TSEN15"
"A_23_P63459","C1orf31"
"A_23_P104972","MS4A5"
"A_33_P3215028","C6orf89"
"A_33_P3228722","TBCD"
"ERCC-00034_158",""
"A_23_P146146","ATP6V0D2"
"A_24_P71973","KDR"
"A_33_P3340085","POLDIP3"
"A_23_P215175","ABCF2"
"A_23_P103588","HMGCS2"
"A_21_P0013214","XLOC_l2_013442"
"A_19_P00806765","FONG"
"A_21_P0004505","XLOC_004405"
"A_23_P11032","SLC9A7"
"A_33_P3255314","FLJ26245"
"A_21_P0005037","LOC100506867"
"A_23_P252748","ZNF195"
"A_21_P0005215","XLOC_005991"
"A_32_P57810","RNF157"
"A_21_P0002212","LOC100506235"
"A_23_P214678","CUTA"
"A_24_P11575","CRIM1"
"A_33_P3368034",""
"A_21_P0008281","XLOC_011080"
"A_33_P3240972","LOC100134285"
"A_21_P0004440","XLOC_004988"
"A_23_P106463","OAZ2"
"A_24_P153043","RPL23AP7"
"(+)E1A_r60_a22",""
"A_23_P36187","SYT8"
"A_21_P0009102","MMP2"
"A_24_P149395","WIPI2"
"A_21_P0012208","XLOC_l2_009273"
"A_21_P0013981","CHRM3"
"A_21_P0010346","XLOC_014183"
"A_23_P104563","CPT1A"
"A_19_P00801041","GNASAS"
"A_23_P82762","ZNF596"
"A_24_P336577","C1orf183"
"A_33_P3368144",""
"A_33_P3253583","OR8B4"
