ID	VALUE
1007_s_at	678.784241
1053_at	440.802185
117_at	35.270363
121_at	198.235901
1255_g_at	9.292679
1294_at	23.211597
1316_at	45.821415
1320_at	30.185127
1405_i_at	13.465549
1431_at	9.737097
1438_at	43.5401
1487_at	211.281815
1494_f_at	48.530914
1552256_a_at	850.429199
1552257_a_at	806.36853
1552258_at	22.76442
1552261_at	32.316944
1552263_at	45.504337
1552264_a_at	134.049118
1552266_at	12.603509
1552269_at	8.827406
1552271_at	49.985779
1552272_a_at	60.997719
1552274_at	79.506111
1552275_s_at	49.552551
1552276_a_at	37.982456
1552277_a_at	590.184692
1552278_a_at	38.321945
1552279_a_at	121.621819
1552280_at	13.556637
1552281_at	111.100349
1552283_s_at	14.30027
1552286_at	86.907578
1552287_s_at	185.346771
1552288_at	17.875811
1552289_a_at	17.921829
1552291_at	108.255623
1552293_at	18.491203
1552295_a_at	134.762466
1552296_at	10.855111
1552299_at	10.084932
1552301_a_at	39.668537
1552302_at	10.984306
1552303_a_at	22.91132
1552304_at	11.319485
1552306_at	22.303534
1552307_a_at	85.367561
1552309_a_at	127.301399
1552310_at	112.595566
1552311_a_at	98.974121
1552312_a_at	27.673372
1552314_a_at	30.064524
1552315_at	25.450712
1552316_a_at	8.818725
1552318_at	10.536702
1552319_a_at	18.742441
1552320_a_at	11.463498
1552321_a_at	15.007552
1552322_at	8.755178
1552323_s_at	10.164988
1552325_at	8.689367
1552326_a_at	23.334974
1552327_at	8.624734
1552329_at	10.574153
1552330_at	81.891151
1552332_at	228.997345
1552334_at	47.537563
1552335_at	51.043411
1552337_s_at	15.111415
1552338_at	18.349888
1552340_at	16.806135
1552343_s_at	16.145233
1552344_s_at	62.011883
1552347_at	141.323227
1552348_at	42.151802
1552349_a_at	16.553905
1552354_at	56.444271
1552355_s_at	40.00856
1552359_at	7.98677
1552360_a_at	16.494112
1552362_a_at	37.989883
1552364_s_at	28.22728
1552365_at	7.849453
1552367_a_at	10.274918
1552368_at	11.3298
1552370_at	25.338367
1552372_at	6.815837
1552373_s_at	8.510047
1552375_at	9.494881
1552377_s_at	99.77375
1552378_s_at	27.848011
1552379_at	6.213154
1552381_at	14.084709
1552383_at	130.989426
1552384_a_at	24.322025
1552386_at	7.799652
1552388_at	38.292351
1552389_at	9.923374
1552390_a_at	9.296353
1552391_at	16.761526
1552393_at	7.771035
1552394_a_at	8.219209
1552395_at	122.048096
1552396_at	16.114571
1552398_a_at	9.274571
1552399_a_at	19.175596
1552400_a_at	17.852665
1552401_a_at	11.228401
1552402_at	15.281499
1552405_at	21.203159
1552408_at	11.616379
1552409_a_at	44.300045
1552410_at	23.872776
1552411_at	42.961514
1552412_a_at	12.507421
1552414_at	14.804622
1552415_a_at	19.0863
1552417_a_at	333.154846
1552418_at	28.416073
1552419_s_at	73.761688
1552421_a_at	9.755986
1552422_at	43.614613
1552423_at	27.201693
1552424_at	9.982802
1552425_a_at	12.941726
1552426_a_at	272.617889
1552427_at	11.706972
1552430_at	9.415544
1552432_at	27.955124
1552436_a_at	26.41437
1552438_a_at	9.30671
1552439_s_at	8.77335
1552440_at	19.178617
1552445_a_at	8.551851
1552448_a_at	10.638672
1552449_a_at	13.21489
1552450_a_at	42.844913
1552452_at	14.65165
1552453_a_at	12.809044
1552455_at	10.257147
1552456_a_at	19.833616
1552457_a_at	11.798106
1552458_at	10.129991
1552459_a_at	20.797108
1552461_at	8.582937
1552463_at	9.219588
1552466_x_at	8.062738
1552467_at	77.896889
1552468_a_at	17.875811
1552470_a_at	20.913435
1552472_a_at	62.302216
1552473_at	112.739571
1552474_a_at	269.15097
1552476_s_at	99.341728
1552477_a_at	11.67402
1552478_a_at	11.1086
1552480_s_at	6.752558
1552481_s_at	16.583466
1552482_at	13.723618
1552484_at	37.603825
1552485_at	41.592987
1552486_s_at	42.939793
1552487_a_at	286.362549
1552489_s_at	8.038914
1552490_at	12.037746
1552491_at	34.373947
1552493_s_at	14.238873
1552494_at	18.272091
1552496_a_at	65.976456
1552497_a_at	18.657471
1552498_at	16.467928
1552499_a_at	14.627013
1552501_a_at	56.063648
1552502_s_at	9.675314
1552503_at	17.768436
1552504_a_at	45.794117
1552506_at	14.251409
1552507_at	14.039312
1552508_at	13.716817
1552509_a_at	9.912561
1552510_at	147.358749
1552511_a_at	10.106625
1552514_at	9.110579
1552515_at	12.503276
1552516_a_at	24.374866
1552518_s_at	36.311512
1552519_at	14.814202
1552520_at	11.090845
1552521_a_at	7.417506
1552522_at	7.713319
1552523_a_at	20.338388
1552524_at	59.532017
1552526_at	18.128359
1552528_at	50.867199
1552531_a_at	11.44112
1552532_a_at	10.883937
1552535_at	40.154892
1552536_at	16.445219
1552538_a_at	12.591458
1552540_s_at	45.341892
1552541_at	41.54258
1552542_s_at	15.473611
1552543_a_at	15.948481
1552544_at	15.188025
1552546_a_at	93.116325
1552548_at	13.03764
1552549_a_at	46.859394
1552552_s_at	9.707974
1552553_a_at	11.785933
1552554_a_at	16.006186
1552555_at	70.311119
1552557_a_at	9.064432
1552558_a_at	69.86805
1552559_a_at	20.419474
1552562_at	14.284748
1552563_a_at	10.906808
1552564_at	10.650855
1552566_at	14.167618
1552568_at	21.014624
1552569_a_at	13.522087
1552570_at	9.96121
1552572_a_at	8.393806
1552573_s_at	17.871122
1552575_a_at	160.635757
1552576_at	24.02573
1552578_a_at	9.020825
1552579_a_at	15.754663
1552580_at	19.912153
1552582_at	10.964172
1552583_s_at	10.591475
1552584_at	16.616903
1552585_s_at	9.839684
1552586_at	49.538273
1552587_at	11.350379
1552588_a_at	8.371625
1552590_a_at	11.132484
1552592_at	8.189242
1552594_at	49.992626
1552596_at	63.969452
1552598_at	16.671822
1552599_at	10.640553
1552602_at	21.347591
1552604_at	18.08536
1552605_s_at	11.308455
1552607_at	22.294168
1552608_at	20.473663
1552609_s_at	15.539374
1552610_a_at	146.952789
1552611_a_at	284.859406
1552612_at	59.368786
1552613_s_at	79.709129
1552615_at	156.892685
1552616_a_at	18.896734
1552617_a_at	190.526428
1552618_at	148.410538
1552619_a_at	603.988098
1552620_at	51.858673
1552621_at	175.317795
1552622_s_at	38.416035
1552623_at	19.001513
1552625_a_at	68.081726
1552626_a_at	57.638142
1552627_a_at	82.056496
1552628_a_at	529.858582
1552629_a_at	13.472956
1552630_a_at	61.360855
1552631_a_at	38.893604
1552632_a_at	9.973387
1552633_at	23.470356
1552634_a_at	29.592747
1552637_at	9.75004
1552639_at	32.545094
1552641_s_at	154.001953
1552643_at	13.242743
1552644_a_at	23.653543
1552646_at	62.343567
1552648_a_at	242.214264
1552649_a_at	22.832165
1552651_a_at	30.275261
1552652_at	118.285034
1552656_s_at	40.697411
1552657_a_at	37.617908
1552658_a_at	15.404148
1552660_a_at	66.74231
1552661_at	6.318587
1552662_a_at	17.444139
