Gene symbol	VALUE
HEBP1	-0.8529367
KCNE4	-6.1223283
BPIFA3	0.037370667
LOC100129869	0.7039001
IRG1	0.44859138
SNAR-G2	0.41523358
LOC100506844	-4.5354786
CKLF	1.6735971
MGST2	0.5777198
CLK1	-0.093265526
OCLM	0.26478517
CASC2	0.61240095
PWRN1	0.06362055
MBNL3	-0.062007006
CYB5R4	1.6403322
HOXC4	-2.8494587
AK3	0.10623736
	0.076282606
FAR1	-0.36611077
XLOC_l2_013153	1.1575979
LOC100129203	0.17830423
MAPK8	0.8187581
THAP3	-0.003579095
XLOC_005939	-0.4364433
TMEM14B	-0.80785257
XLOC_005179	-0.40063763
PHLPP1	1.6019238
KRT1	-2.1739461
SDC4	-0.32011792
XLOC_l2_015038	-0.26227507
	0.2669139
	0.109188065
DKFZp547G183	0.005397712
	1.1088877
LOC286087	1.2476919
LOC389634	0.111399814
UBAP2L	-0.34120277
TRAF4	0.930683
FAM75C2	0.44677868
HAL	-2.0686321
FUCA1	1.4194802
FCER1A	0.1369198
XLOC_001975	0.41001987
SMNDC1	0.8673772
LOC100507291	1.5455478
	0.41735035
DHX57	0.30245835
TCERG1L	0.13979363
XLOC_010597	0.14141102
PAFAH1B1	0.21062274
Q3AHP4	0.12095053
MT1X	-0.28486925
LOC389831	-0.32921886
TMEM191B	1.1817799
	-0.53460026
C17orf104	0.15150592
	1.0358919
RNF13	0.55747503
PICALM	1.2318279
TRIM78P	-0.74191344
SSFA2	0.11705489
DNAJA4	0.98338604
ACIN1	0.6939478
PRKD1	-5.193202
MAP3K9	0.85337496
SORD	1.1411666
XLOC_001602	0.16396853
SCGB1D4	0.1648606
LOC100287813	-0.8860045
ZNF346	-0.99398714
XLOC_000934	0.1672218
PCDH9	0.16794363
XLOC_014042	-0.11929509
FIG4	1.067213
ZSCAN21	-0.2674398
IFNG	0.14725292
CISH	-1.8641614
SCXA	-0.8165078
TUBGCP3	0.6128855
FAS	2.3132982
XLOC_006644	0.6817233
EFNB2	3.441494
CYP2S1	1.3039188
